fingerprint, ipaddr, port
000A10D43011EA4928A35F610405F92B4433B4DC, 104.53.221.159, 9001
000C351F86033654A82D9FD6AC3B178F44E236BE, 5.196.8.113, 9001
000C351F86033654A82D9FD6AC3B178F44E236BE, 2001:41d0:404:300::dd2, 9001
000F3EB75342BE371F1D8D3FAE90890AEB5664EE, 204.137.14.106, 443
0011BD2485AD45D984EC4159C88FC066E5E3300E, 162.247.74.201, 443
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941, 95.111.230.178, 443
00283B5564E3072DCDDAB31D6EF622DD49BF524F, 195.15.242.99, 9001
00283B5564E3072DCDDAB31D6EF622DD49BF524F, 2001:1600:10:100::201, 9001
0036FA36AB435FD5D0F640626636867EBFB72C68, 185.220.101.33, 10133
0036FA36AB435FD5D0F640626636867EBFB72C68, 2a0b:f4c2:2::33, 10133
003A08F1ADC002D24979C68AA5A33369C04D9C7F, 185.220.101.170, 10170
003A08F1ADC002D24979C68AA5A33369C04D9C7F, 2a0b:f4c2:1::170, 10170
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1, 51.15.75.120, 444
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1, 2001:bc8:1860:607::1, 444
004F9A0513C84E72054CEB555DB51EEEF319546D, 192.42.116.174, 9004
004F9A0513C84E72054CEB555DB51EEEF319546D, 2001:67c:6ec:203:192:42:116:174, 9004
0055DB090820D7C08999EC1598FD6EA6365861AD, 192.42.116.185, 9004
0055DB090820D7C08999EC1598FD6EA6365861AD, 2001:67c:6ec:203:192:42:116:185, 9004
005ED97213F725867E422B8DC0443361BBB24E3C, 104.244.79.75, 443
005ED97213F725867E422B8DC0443361BBB24E3C, 2605:6400:30:fb10:d07b:edfd:2c84:bb4a, 443
005F829917C13B46D2FF5DC3228DE442C67B4D50, 68.97.244.129, 9050
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9, 109.70.100.70, 9002
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9, 2a03:e600:100::70, 9002
00654113959763F653C92AFF078A7EC3A7BBD2D9, 174.128.250.165, 80
006973C241C130B2ADAF229113FF0A434113FD5F, 221.145.183.106, 9001
0077640E103A829BF8228D42F95818DAD1E9D84C, 179.43.159.78, 9001
0077BCBA7244DB3E6A5ED2746E86170066684887, 199.249.230.103, 443
0077BCBA7244DB3E6A5ED2746E86170066684887, 2620:7:6001::103, 80
007F178ECF496433D38B0D151B70981DF55E2B8A, 45.249.101.87, 9090
008196DC449482C73CFA9712445223917F760921, 140.78.100.42, 8443
0081AE534FC53801CECC93179240D73348DA47BE, 94.103.124.121, 9000
0081AE534FC53801CECC93179240D73348DA47BE, 2a05:b0c7:696c::1, 9000
0082C49022C0811D45620D408E068835E2BABA71, 176.118.193.106, 443
008F10F88397C11C062217EAC35D782F03BDF4C7, 192.42.116.195, 9006
008F10F88397C11C062217EAC35D782F03BDF4C7, 2001:67c:6ec:203:192:42:116:195, 9006
00962D2DD0B9BF3A6AF1D5EB201132388ACA1424, 5.189.155.39, 9001
009EF5F8572D671AFCBBAD65998BA35B50EE04BC, 192.42.116.174, 9003
009EF5F8572D671AFCBBAD65998BA35B50EE04BC, 2001:67c:6ec:203:192:42:116:174, 9003
00A13056C61CE4C535A64D0207C6DD95771E1033, 185.100.85.22, 9003
00A13056C61CE4C535A64D0207C6DD95771E1033, 2a06:1700:0:15::3, 9003
00A39BF4B61C1702AB6095A7AA4EDB084BD6CFD1, 145.239.93.126, 443
00A39BF4B61C1702AB6095A7AA4EDB084BD6CFD1, 2001:41d0:601:1100::6648, 443
00B57BF614F7ED3051073B5D4526FF0B23AF217B, 158.174.145.139, 9001
00B57BF614F7ED3051073B5D4526FF0B23AF217B, 2001:9b1:403c:0:ffff:d3da:5c99:8455, 9001
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C, 192.42.116.182, 9007
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C, 2001:67c:6ec:203:192:42:116:182, 9007
00C4B91374AC790CB2F3865D2F36F62DF27F0A0F, 185.66.141.125, 9001
00CC3A3D92C33E171BBDAEACC4601173BFA24150, 45.134.225.36, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 89.236.112.100, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 2001:40e8:0:f090::100, 443
00CF21B2CC62CCBE9CB61D3F2DC38A9ECF98777F, 64.176.10.122, 443
00CF21B2CC62CCBE9CB61D3F2DC38A9ECF98777F, 2001:19f0:c800:2ce1:5400:4ff:fe8b:d93b, 443
00D2CE3C2153EA09786F2105F26B138CF759424F, 107.155.81.178, 443
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92, 5.9.56.249, 4080
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92, 2a01:4f8:161:52cb::2, 4080
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F, 199.249.230.144, 443
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F, 2620:7:6001::144, 80
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4, 116.203.50.182, 8080
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4, 2a01:4f8:1c1c:b16b::1, 8080
00E810DD83D1B76D12ED69BC2D3FEBD79F800378, 51.222.31.141, 443
00EB3A12C77E70F19F66A7BBD094D62969AF350D, 199.249.230.174, 443
00EB3A12C77E70F19F66A7BBD094D62969AF350D, 2620:7:6001::174, 80
00EEFC60C571929282A0FEBB909D5893BE03787C, 131.153.152.170, 443
00F0586A35B4FF15F3F1F77A8A6DAC9C6EDC4724, 173.52.94.197, 9004
00F1F247B391B84CB6C221720BCBFC0DFDB91117, 212.227.74.176, 9001
00FB85B65AC2F460CD46A3B6E5639821E3F52048, 192.42.116.217, 9002
