fingerprint, ipaddr, port
000C351F86033654A82D9FD6AC3B178F44E236BE, 5.196.8.113, 9001
000C351F86033654A82D9FD6AC3B178F44E236BE, 2001:41d0:404:300::dd2, 9001
000F3EB75342BE371F1D8D3FAE90890AEB5664EE, 204.137.14.106, 443
0011BD2485AD45D984EC4159C88FC066E5E3300E, 162.247.74.201, 443
0036FA36AB435FD5D0F640626636867EBFB72C68, 185.220.101.33, 10133
0036FA36AB435FD5D0F640626636867EBFB72C68, 2a0b:f4c2:2::33, 10133
003A08F1ADC002D24979C68AA5A33369C04D9C7F, 185.220.101.170, 10170
003A08F1ADC002D24979C68AA5A33369C04D9C7F, 2a0b:f4c2:1::170, 10170
004F9A0513C84E72054CEB555DB51EEEF319546D, 192.42.116.174, 9004
004F9A0513C84E72054CEB555DB51EEEF319546D, 2001:67c:6ec:203:192:42:116:174, 9004
0055DB090820D7C08999EC1598FD6EA6365861AD, 192.42.116.185, 9004
0055DB090820D7C08999EC1598FD6EA6365861AD, 2001:67c:6ec:203:192:42:116:185, 9004
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9, 109.70.100.70, 9002
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9, 2a03:e600:100::70, 9002
0077640E103A829BF8228D42F95818DAD1E9D84C, 179.43.159.78, 9001
0077BCBA7244DB3E6A5ED2746E86170066684887, 204.8.96.103, 443
0077BCBA7244DB3E6A5ED2746E86170066684887, 2620:7:6001::103, 80
0081AE534FC53801CECC93179240D73348DA47BE, 94.103.124.121, 9000
0081AE534FC53801CECC93179240D73348DA47BE, 2a05:b0c7:696c::1, 9000
008F10F88397C11C062217EAC35D782F03BDF4C7, 192.42.116.195, 9006
008F10F88397C11C062217EAC35D782F03BDF4C7, 2001:67c:6ec:203:192:42:116:195, 9006
009EF5F8572D671AFCBBAD65998BA35B50EE04BC, 192.42.116.174, 9003
009EF5F8572D671AFCBBAD65998BA35B50EE04BC, 2001:67c:6ec:203:192:42:116:174, 9003
00A13056C61CE4C535A64D0207C6DD95771E1033, 185.100.85.22, 9003
00A13056C61CE4C535A64D0207C6DD95771E1033, 2a06:1700:0:15::3, 9003
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C, 192.42.116.182, 9007
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C, 2001:67c:6ec:203:192:42:116:182, 9007
00CC3A3D92C33E171BBDAEACC4601173BFA24150, 45.134.225.36, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 89.236.112.100, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 2001:40e8:0:f090::100, 443
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F, 204.8.96.144, 443
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F, 2620:7:6001::144, 80
00EB3A12C77E70F19F66A7BBD094D62969AF350D, 204.8.96.174, 443
00EB3A12C77E70F19F66A7BBD094D62969AF350D, 2620:7:6001::174, 80
00FB85B65AC2F460CD46A3B6E5639821E3F52048, 192.42.116.217, 9002
00FB85B65AC2F460CD46A3B6E5639821E3F52048, 2001:67c:6ec:203:192:42:116:217, 9002
0111BA9B604669E636FFD5B503F382A4B7AD6E80, 185.195.71.244, 443
01181B31BE5860C7D66DA88F88AD522C06470FD9, 95.143.193.125, 443
0138DDE95A04DF80DAF96111C93051BBBB6BF0A2, 185.220.101.153, 10153
0138DDE95A04DF80DAF96111C93051BBBB6BF0A2, 2a0b:f4c2:1::153, 10153
014326416058DCFD0965167026CBEF647409A000, 5.42.66.6, 443
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD, 78.142.18.219, 444
